Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Gunjur,1305,3,3,Dec-20,1,1405,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,5901000
Gunjur,1130,2,2,Dec-20,1,1230,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 11,5166000
Gunjur,1040,2,2,Dec-20,1,1140,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 10,4788000
ITPL Road,700,2,2,Dec-19,1,1000,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,0,1,0,1,1,1,Class 10,4952000
Sarjapur Road,780,2,2,Ready To Move,1,1163,2019,1,Marbonite,Not Furnished,1,1,1,0,0,1,1,1,Class 12,6000000
Attibele,1197,3,3,Ready To Move,1,1596,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,1,0,0,1,0,0,Class 10,4548000
Kadugodi,520,2,2,Aug-20,1,647,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 6,2850000
Electronic City Phase I,1500,3,3,Ready To Move,0,1848,2010,5,Ceramic,Semi Furnished,1,1,1,1,0,1,1,1,Class 24,12000000
Whitefield,480,2,2,Mar-20,1,600,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 8,3900000
kaikondrahalli,1880,3,3,Ready To Move,0,1880,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 27,13300000
Rajanukunte,6000,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 27,13200000
Frazer Town,2720,3,3,Ready To Move,0,3400,2012,4,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,1,0,Class 130,65000000
Whitefield,2709,4,5,Ready To Move,1,3613,2019,5,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,0,Class 47,23500000
Varthur,1528,3,3,Dec-20,1,1798,Under Construction,8,Granite,Semi Furnished,0,1,1,0,0,1,1,1,Class 21,10400000
Kogilu,1212,3,3,Oct-19,1,1732,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 16,7970000
Hosa Road,735,2,2,Ready To Move,1,1050,Under Construction,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,0,1,0,Class 10,4995000
Jakkur,963,3,2,Nov-20,1,1284,Under Construction,6,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 14,6800000
Mysore Road,826,2,2,Jun-20,1,1180,2019,10,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 20,9700000
Cunningham Road,5000,4,4,Ready To Move,0,5900,2003,0,Marble Flooring,Fully Furnished,1,1,1,0,0,1,1,1,Class 270,135000000
Thanisandra Main Road,1750,3,4,Ready To Move,0,2080,2018,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 27,13500000
RajajiNagar,6500,4,4,Ready To Move,1,6825,Under Construction,21,Marble Flooring,Not Furnished,1,1,1,0,1,1,1,0,Class 300,150000000
Whitefield,3004,3,3,Ready To Move,0,3756,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 130,64900000
Chandapura,1775,3,3,Mar-20,1,2675,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 22,10900000
Kudlu Gate,900,2,2,Ready To Move,0,1125,Under Construction,6,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 17,8500000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Banashankari,43560,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 8,3875000
Narayanapura,1300,3,3,Ready To Move,0,1835,2012,11,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,1,Class 18,9000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Malleshwaram,2400,3,3,Nov-19,0,2700,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,0,Class 85,42500000
RajajiNagar,1200,3,3,Ready To Move,0,1250,2014,3,Marble Flooring,Semi Furnished,1,1,1,1,0,1,1,1,Class 18,9000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Harlur,1212,2,2,Ready To Move,0,1212,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,0,1,Class 15,7500000
Kanakapura Road,3954.502692,2,2,Ready To Move,1,950,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,0,1,0,Class 10,5000000
Yelahanka,741,2,2,Jan-20,1,858,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 13,6100000
Yelahanka,945,3,3,Jan-20,1,1257,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 15,7100000
Hennur Road,1054,2,2,Dec-19,1,1241,2019,2,Vitrified Tiles,Not Furnished,1,0,0,1,0,0,1,0,Class 10,4995000
Sarjapur,2400,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,0,1,Class 10,5000000
Whitefield,2170,3,3,Dec-22,1,2713,Under Construction,31,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 48,24000000
Cox Town,2906,3,3,Ready To Move,0,3632,2006,3,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,0,Class 80,40000000
Old Madras Road,1148,3,2,Ready To Move,0,1640,Under Construction,16,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,1,Class 24,11700000
Whitefield,931,2,1,Ready To Move,0,1330,Under Construction,14,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 23,11500000
Whitefield,1198,3,3,Dec-19,1,1254,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5423000
Tumkur Road,1088,2,2,Oct-21,1,1088,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 11,5400000
Electronic City Phase I,1060,2,2,Ready To Move,1,1070,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,0,1,Class 9,4300000
Varthur,1000,3,3,Ready To Move,0,1655,2019,9,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 22,10800000
Budigere,4000,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 32,16000000
Nagavara,1920,3,3,Ready To Move,0,2479,Under Construction,11,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 37,18500000
Whitefield,650,2,2,Apr-20,1,860,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 10,4583000
Sarjapur Attibele Road,1008,3,3,Ready To Move,1,1524,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 9,4265000
ITPL,1064,3,3,Jan-20,1,1520,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 14,6840000
Electronic City Phase I,1250,3,3,Ready To Move,0,1460,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,0,Class 13,6450000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Kadugodi,1056,2,2,Ready To Move,1,1156,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 9,4260000
Hennur Bagalur Road,1575,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3116000
Bellandur,2444,4,4,Ready To Move,1,3055,2019,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 40,19700000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Hennur Bagalur Road,1650,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3382000
Hennur Bagalur Road,1890,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 8,3874000
Sarjapur Attibele Road,1012,3,3,Ready To Move,1,1503,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 9,4206000
Sarjapur Attibele Road,1002,3,3,Ready To Move,1,1502,2019,1,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 9,4204000
Akshayanagar,752,2,2,Ready To Move,1,1075,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,5600000
Sarjapur Attibele Road,1004,3,3,Ready To Move,1,1501,2019,1,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 9,4201000
Whitefield,750,3,3,Oct-19,1,850,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 9,4500000
Whitefield,1100,3,3,Nov-19,1,1254,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5098000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Banashankari,975,2,2,Ready To Move,0,985,Under Construction,7,Vitrified Tiles,Fully Furnished,1,1,1,0,0,1,1,1,Class 14,6800000
Whitefield,930,3,3,Jan-20,1,1247,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,0,Class 12,5630000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Thanisandra Main Road,885,2,2,Ready To Move,1,1179,2019,2,Vitrified Tiles,Not Furnished,0,1,1,1,0,0,1,0,Class 10,4995000
Whitefield,790,2,2,Dec-19,1,850,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 10,4623000
Electronic City,1102,3,3,Ready To Move,1,1378,Under Construction,4,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,0,Class 12,5580000
Carmelaram Road,1123,3,3,Ready To Move,1,1605,2019,7,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 20,9960000
Budigere,2000,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 15,7400000
Marathahalli-Sarjapur Outer Ring Road,1181,3,3,Jun-21,1,1641,Under Construction,9,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 23,11500000
JP Nagar,870,2,2,Ready To Move,1,1315,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,1,0,0,0,1,0,Class 22,11000000
Sarjapur Road,675,2,2,Sep-20,1,984,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 12,6000000
Attibele,1200,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 8,3600000
Babusa Palya,950,2,2,Ready To Move,1,1091,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,1,0,0,0,1,0,Class 8,3900000
Doddaballapur Road,1070,3,2,Ready To Move,1,1075,2012,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,1,Class 8,3900000
Judicial Layout,1452,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 30,15000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Mahadevpura,903,2,1,Ready To Move,0,1290,Under Construction,10,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 22,11000000
Whitefield,600,2,2,Jan-20,1,858,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 10,4618000
Banashankari,2440,3,3,Ready To Move,1,2440,2019,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,0,1,1,Class 40,20000000
Kalyan Nagar,1250,2,2,Ready To Move,1,1265,2018,2,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 14,6704000
Basavanagudi,3010,3,3,Ready To Move,1,3500,2019,11,Vitrified Tiles,Not Furnished,1,0,0,1,0,1,1,0,Class 100,49800000
Rajanukunte,1500,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,1,0,Class 3,1498000
Chandapura,1579,3,3,Mar-20,1,2211,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 18,8700000
Whitefield,784,2,2,Jan-20,1,980,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,1,Class 10,4800000
Sarjapur Outer Ring Road,1105,2,2,Ready To Move,1,1109,2018,10,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 16,7600000
Koppa,1200,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 5,2160000
Whitefield Road,1054,3,3,Ready To Move,1,1507,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 14,6781000
Electronic City Phase II,1190,2,2,Ready To Move,0,1190,Under Construction,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,1,1,Class 15,7500000
Kogilu Road,7500,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 150,75000000
Kogilu Road,7500,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 150,75000000
Magadi Road,1065,2,2,Ready To Move,1,1253,2018,12,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 24,11600000
Old Airport Road,2500,4,4,Ready To Move,0,3195,2000,2,Wooden,Semi Furnished,1,1,1,0,0,1,1,1,Class 53,26500000
Hegde Nagar,850,2,2,Ready To Move,0,1094,Under Construction,7,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 16,7600000
Mysore Road,601,2,2,Dec-20,1,935,Under Construction,5,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 14,6900000
Hoskote Malur Road,900,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,1,0,0,0,Class 3,1500000
Sarjapur Road,1124,3,3,Ready To Move,1,1605,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 20,9960000
Whitefield,1450,3,3,Nov-19,1,1520,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 12,5623000
Whitefield Road,1890,3,3,Ready To Move,0,2085,2019,4,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,0,Class 35,17500000
RajajiNagar,1850,3,3,Oct-19,1,1950,2019,23,Marble Flooring,Not Furnished,1,1,1,0,1,1,0,1,Class 58,29000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Sarjapur Road,925,3,3,Ready To Move,1,1157,2019,8,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 12,5918000
Kanakapura Road,1423,3,3,Ready To Move,1,1898,2019,0,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 20,9869000
Horamavu,950,2,2,Ready To Move,1,1100,2019,0,Vitrified Tiles,Not Furnished,1,0,0,0,0,0,1,0,Class 11,5500000
Horamavu,880,2,2,Ready To Move,0,1067,2017,2,Vitrified Tiles,Semi Furnished,1,0,1,1,0,0,1,0,Class 13,6400000
Akshayanagar,967,2,2,Ready To Move,0,1290,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,0,1,Class 14,6600000
Vidyaranyapura,1067,3,2,Jan-20,1,1525,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 16,7625000
Whitefield,630,2,2,Jan-20,1,900,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 9,4496000
Whitefield,1100,3,3,Oct-19,1,1664,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 11,5036000
Uttarahalli Main Road,1492,3,3,Oct-19,1,1990,2019,3,Vitrified Tiles,Not Furnished,0,0,0,1,0,0,1,0,Class 19,9500000
Whitefield,1100,3,3,Oct-19,1,1254,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 10,4896000
Mahadevpura,2700,4,5,Ready To Move,1,3600,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 43,21500000
Kanakapura Road,3267,2.707216124,2.743836602,Dec-19,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,0,0,Class 5,2120000
Jayanagar,1700,3,3,Oct-19,1,1750,2010,0,Marble Flooring,Semi Furnished,1,0,0,0,0,0,1,0,Class 1,100000
Marathahalli-Sarjapur Outer Ring Road,1112,3,3,Ready To Move,1,1390,2016,5,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 19,9500000
Jigani,2000,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,0,0,Class 5,2318000
Electronic City Phase I,750,2,2,Ready To Move,0,875,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 7,3100000
Jigani,1600,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,0,0,Class 4,1854000
Haralur Road,706,2,2,Aug-20,1,1269,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,0,0,Class 13,6300000
Whitefield,1500,2.707216124,2.743836602,Dec-19,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 6,2530000
Jigani,1200,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,0,0,Class 3,1390000
Marathahalli-Sarjapur Outer Ring Road,1600,4,5,Ready To Move,1,2300,2019,3,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 29,14300000
International Airport Road,6000,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,1,1,Class 27,13200000
Marathahalli-Sarjapur Outer Ring Road,1200,3,3,Oct-20,1,1620,2019,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 24,11900000
Kasavanahalli,821,2,2,Ready To Move,1,1121,2019,12,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,0,1,Class 15,7200000
Hegde Nagar,770,2,2,Ready To Move,0,1094,2017,11,Vitrified Tiles,Fully Furnished,1,0,1,0,0,0,0,1,Class 17,8200000
Chandapura,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,1,0,0,0,Class 15,7500000
Richmond Road,5400,4,5,Ready To Move,0,5400,2009,0,Vitrified Tiles,Semi Furnished,0,0,0,1,0,0,0,0,Class 160,80000000
Harlur,2700,4,4,Ready To Move,0,3200,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 47,23500000
Sarjapur Road,1085,3,3,Jun-23,1,1507,Under Construction,9,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 25,12500000
Kanakapura Road,1738,3,3,Ready To Move,0,2173,2019,4,Vitrified Tiles,Not Furnished,1,0,0,1,0,1,1,0,Class 38,19000000
Sarjapur Road,1524,3,3,Dec-19,1,1905,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,0,Class 18,8953000
Thanisandra Main Road,1750,3,3,Ready To Move,0,2050,Under Construction,24,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 30,15000000
Marathahalli-Sarjapur Outer Ring Road,1885,3,3,Nov-19,1,1885,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,1,0,Class 25,12500000
Haralur Road,843,3,2,Mar-20,1,1240,Under Construction,0,Vitrified Tiles,Not Furnished,0,1,1,0,1,0,1,0,Class 14,6824000
Bagaluru,2400,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,0,Class 10,4800000
Chikkaballapur,43560,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 6,3000000
Kudlu Gate,1849,3,3,Ready To Move,1,1850,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 24,12000000
Yelahanka New Town,500,1,1,Ready To Move,0,580,2000,3,Mosaic Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 4,1900000
Hennur Bagalur Road,2650,3,3,Ready To Move,1,2826,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 54,26600000
Bellandur,1730,3,3,Ready To Move,0,1730,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 29,14100000
Kanakapura Road,600,2,2,Mar-20,1,900,Under Construction,5,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 12,6000000
Hosur Road,765,3,3,Oct-23,1,900,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,0,Class 8,3700000
Varthur,1216,2,2,Ready To Move,0,1216,2019,4,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,0,1,Class 16,8000000
Whitefield Road,900,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1800000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Kanakapura,900,3,3,Ready To Move,1,1500,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 17,8500000
Sarjapur,1002,3,3,Ready To Move,1,1407,2019,1,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,0,Class 8,3938000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
K R Puram,1900,4,4,Ready To Move,1,2580,2017,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 27,13500000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Mysore Road,700,1,1,May-21,1,722,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 4,1900000
Jigani,1035,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1700000
Electronic City Phase I,1136,2,2,Ready To Move,0,1420,Under Construction,0,Vitrified Tiles,Fully Furnished,1,1,1,0,1,0,0,0,Class 11,5500000
Yelahanka New Town,980,2,2,May-20,1,1179,Under Construction,2,Vitrified Tiles,Semi Furnished,1,0,0,1,0,0,1,0,Class 11,5500000
Marathahalli-Sarjapur Outer Ring Road,1885,3,3,Nov-19,1,1885,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,0,1,0,Class 24,11800000
Bangalore Bazaar,14000,3,3,Ready To Move,1,20000,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,1150,3,3,Dec-19,1,1254,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 12,5600000
Kanakapura Road,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,0,0,0,1,1,0,Class 7,3200000
Mahadevpura,1148,3,3,Dec-20,1,1640,Under Construction,0,Vitrified Tiles,Not Furnished,1,0,0,0,0,0,0,0,Class 21,10500000
Old Madras Road,1163,2,2,Dec-22,1,1163,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 12,6000000
Marathahalli-Sarjapur Outer Ring Road,1200,3,3,Oct-20,1,1620,2019,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 24,11900000
Kadubeesanahalli,1830,3,3,Ready To Move,1,2530,2018,9,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 42,21000000
Kanakapura Road,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1750000
Aavalahalli,600,2,2,Mar-20,1,1200,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 7,3500000
Sarjapur Attibele Road,1200,3,3,Ready To Move,1,1940,2019,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 16,7900000
Chandapura Anekal Road,1200,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1879000
Jakkur,1640,4,4,Dec-20,1,1930,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,0,Class 29,14400000
Banashankari,2801,4,4,Ready To Move,1,3300,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 62,31000000
Kadugodi,1200,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 4,1980000
Chandapura,1579,3,3,May-20,1,2211,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 20,9700000
