Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Sarjapur Road,603,1,1,Apr-23,1,709,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,1,1,0,1,1,Class 8,3999000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,2984,3,3,Dec-22,1,3511,Under Construction,9,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 74,37000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Kanakapura Road,1533,3,3,Dec-21,1,1803,Under Construction,19,Vitrified Tiles,Semi Furnished,1,1,0,0,1,0,1,0,Class 23,11400000
JP Nagar,3307,3,3,Ready To Move,1,3890,2018,9,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 78,38700000
Haralur Road,1675,3,3,Ready To Move,0,1875,2019,19,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 26,12800000
Jalahalli West,898,2,2,Ready To Move,1,958,Under Construction,9,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 17,8326000
Off Sarjapur road,1109,3,3,Nov-20,1,1550,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 18,8950000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Haralur Road,1303,3,3,Ready To Move,1,1810,2014,9,Ceramic,Not Furnished,1,1,1,0,1,1,1,1,Class 25,12500000
Banashankari,933,2,2,Ready To Move,1,1245,Under Construction,2,Vitrified Tiles,Semi Furnished,1,0,1,1,0,0,1,0,Class 18,8900000
Banashankari,2144,3,3,Ready To Move,1,2522,2017,17,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 55,27400000
Whitefield,2030,3,3,Aug-23,1,2388,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,1,1,0,1,1,1,Class 24,11900000
Malleshwaram,2556,3,4,Ready To Move,0,3195,Under Construction,6,Marbonite,Not Furnished,1,1,1,0,1,1,0,0,Class 95,47200000
Banashankari,1907,3,3,Ready To Move,1,2243,2019,19,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 46,23000000
Subramanyapura,562,1,1,Apr-21,1,661,Under Construction,8,Granite,Semi Furnished,1,1,1,0,1,1,1,1,Class 8,3900000
Tumkur Road,1310,3,3,Mar-23,1,1541,Under Construction,9,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 17,8500000
Malleshwaram,3592,4,5,Ready To Move,0,4490,Under Construction,6,Marbonite,Not Furnished,1,1,1,0,1,1,0,0,Class 132,66000000
Jakkur,584,1,1,Dec-21,1,687,Under Construction,3,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 7,3496000
RajajiNagar,2152,4,4,Ready To Move,0,2690,Under Construction,15,Marbonite,Semi Furnished,0,1,1,0,0,1,0,1,Class 100,50000000
Panathur,1095,2,2,Ready To Move,1,1331,2019,2,Vitrified Tiles,Not Furnished,1,1,1,1,0,0,1,1,Class 12,5700000
Old Madras Road,1800,3,3,Ready To Move,1,2400,2018,0,Granite,Semi Furnished,1,1,1,1,1,1,1,1,Class 41,20400000
Hennur Road,990,2,2,Ready To Move,1,1165,2019,9,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 12,5592000
Thanisandra Main Road,1211,3,3,Oct-21,1,1425,Under Construction,9,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 17,8100000
Hebbal,2168,3,3,Ready To Move,1,2551,2019,14,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 43,21400000
RajajiNagar,2211,3,3,Ready To Move,1,2601,2018,14,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 76,37900000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Mysore Road,1003,2,2,Jun-21,1,1180,Under Construction,10,Granite,Semi Furnished,1,1,1,0,1,1,1,1,Class 17,8500000
